request_time,request_url,response_code,response_size,last_update_local,last_update_remote,source_register
20200828 06:22:10 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 07:22:10 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 07:22:10 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 08:22:06 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 08:22:06 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 09:22:08 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 09:22:08 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 10:22:07 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 10:22:08 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 11:22:07 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 11:22:08 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 12:22:14 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 12:22:14 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 14:44:35 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 15:44:36 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 17:44:40 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 18:44:37 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 19:44:42 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 20:44:42 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 20:44:43 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 21:44:50 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 21:44:52 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 23:44:47 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 23:44:48 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 01:44:50 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 04:44:56 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 05:44:56 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 05:44:59 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 06:44:58 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 06:44:58 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 07:45:04 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 07:45:06 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 08:44:59 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 08:45:02 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 09:44:58 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 09:45:01 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 10:44:58 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 11:44:59 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 15:45:03 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 15:45:04 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 16:45:03 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 17:45:04 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 17:45:04 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 18:45:05 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 18:45:05 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 19:45:05 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 19:45:05 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 20:45:04 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 20:45:06 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 21:45:06 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 21:45:08 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200831 03:45:07 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200831 03:45:14 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200831 07:45:10 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200831 07:45:14 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200831 08:45:09 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200831 08:45:14 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200831 09:45:17 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200831 10:45:10 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200831 11:45:13 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200831 12:45:14 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200831 13:45:17 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200831 16:45:15 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200831 17:45:15 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200831 17:45:19 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200831 18:45:17 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200831 18:45:19 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200831 19:45:17 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200831 19:45:20 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200831 20:45:17 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200901 02:45:19 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 13:22:10 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 13:22:10 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 14:22:12 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 14:22:15 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 15:22:13 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 15:22:13 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 16:22:11 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 16:22:12 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 17:22:16 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 17:22:16 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 18:22:21 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 18:22:22 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 19:22:16 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 19:22:16 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 20:22:16 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 20:22:17 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 21:22:17 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 21:22:18 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 22:22:17 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 22:22:19 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200828 23:22:18 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200828 23:22:19 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 00:22:19 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 00:22:19 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 01:22:23 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 01:22:26 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 02:22:21 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 02:22:21 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 03:22:21 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 03:22:23 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 04:22:21 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 04:22:22 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 05:22:21 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 05:22:23 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 06:22:25 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 06:22:28 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 07:22:26 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 07:22:28 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 08:22:23 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 08:22:24 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 09:22:27 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 09:22:29 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 10:22:26 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 10:22:27 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 11:44:33 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 11:44:34 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 12:44:27 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 12:44:27 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 13:44:32 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 13:44:33 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 14:44:31 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 15:44:32 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 16:44:40 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 16:44:41 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 17:44:35 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 18:44:42 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 19:44:42 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200829 22:44:46 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200829 22:44:46 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 00:44:48 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 00:44:50 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
