substance_name,approval_countries
Serum gonadotrophin,"ARE, DEU, GBR, HUN, IND, JPN, NLD"
Vigna spp. seed,USA
Tesevatinib tosilate,
Erdosteine,"ARG, AUT, BGD, BGR, BRA, CHE, CHL, CHN, COL, CZE, ECU, EGY, FIN, FRA, GRC, HUN, IDN, IND, IRL, ITA, JOR, KOR, LUX, MEX, PAK, PER, PHL, POL, ROM, RUS, SVK, THA, TUR, UKR, VEN"
Mallotus japonicus bark,"JPN, TWN"
Maytenus krukovii,
Mebicar,"BLR, KGZ, LTU, LVA, RUS, UKR"
Curcuma amada,
Triciribine,
Meningococcal vaccine C,
N-Myristyl-3-Hydroxybutylamine,
Serenoa repens fruit dry extract,
Pertussis vaccine,"ARE, ARG, AUT, BGR, BRA, BWA, CAN, CHN, CIV, COD, CUB, DEU, DNK, ECU, EGY, ESP, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, ITA, JPN, KOR, MAR, MYS, NLD, NOR, NZL, PHL, ROM, RUS, SAU, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, USA, VNM, ZAF, ZMB, ZWE"
Oxymesterone,"DEU, GBR"
Gaultheria procumbens extract,"EGY, EST, LVA"
Jateorhiza columba,
Smilax binchuanensis,
Halquinol,"CAN, CZE, DEU, FIN, GBR, PRI, SWE, USA"
Ferula assa-foetida gum,CHE
Oligomeric proanthocyanidin,"DEU, LTU, USA"
Rituximab pvvr,USA
Esreboxetine,
Irampanel,
Flunoxaprofen,ITA
Crataegus pinnatifida seed,CHN
"Gleditsia sinensis spine (thorn, prickle)",CHN
Bromadoline,
Reglitazar,
Brassica nigra seed,"BLR, FRA, RUS, UKR"
Typhonium giganteum tube,CHN
Mahonia aquifolium root bark,USA
JTX 2011,
Triclocarban,"ARE, ARG, BFA, BGR, BRA, CHE, CHL, COD, COL, DEU, ECU, ESP, FRA, GBR, HKG, IND, IRL, JPN, KOR, KWT, LBN, MAR, MEX, PAK, PER, SWE, THA, TUN, TUR, TWN, URY, USA"
Uncaria tomentosa bark,"AUS, DEU, LVA, MYS, SGP, TUR, USA"
Corticorelin (human),"DEU, JPN"
Fraxinus excelsior leaf dry extract,"FRA, LUX"
Uncaria tomentosa inner bark,"TUR, USA"
Peramivir,"GBR, HKG, JPN, KOR, PRI, TWN, USA"
Tedisamil sesquifumarate,
Brecanavir,
Megestrol,
Indometacin,"ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB, ZWE"
Cholesterol,"ARG, CHE, CHL, CZE, DEU, ESP, EST, FRA, GBR, ITA, JPN, LTU, LVA, MYS, POL, PRI, PRT, SGP, USA, ZAF"
Vigna angularis,
Cevipabulin,
Polygonum paleaceum rhizome,CHN
Angelica pubescens,"AUS, JPN, SGP"
Myroxylon balsamum var. balsamum syrup,
Benzethonium chloride,"ARG, AUS, BEL, BRA, CAN, CHE, CHL, COL, CZE, DEU, DOM, ESP, FIN, FRA, GBR, HKG, IND, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LUX, MEX, NZL, PRI, ROM, SVK, SWE, THA, TWN, USA, VEN, ZAF, ZMB"
Hepatitis b vaccine rHBsAg,"ARG, AUS, AUT, BEL, BFA, BGR, BRA, BWA, CHE, CHL, CHN, CIV, COL, CUB, CZE, DEU, DOM, ECU, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ITA, JOR, JPN, KOR, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, PAK, PER, PHL, POL, PRT, ROM, SAU, SGP, SVK, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, VEN, ZAF, ZWE"
Betula pendula extract,"DEU, FRA, SWE"
Alpinia oxyphylla,
Prednicarbate,"ARE, ARG, AUT, BFA, BGR, BRA, CAN, CHE, CHL, CIV, COD, COL, CZE, DEU, DOM, ECU, EGY, ESP, IDN, IND, ITA, KOR, LBN, LTU, LVA, MAR, MEX, PAK, PER, PRI, ROM, SVK, THA, TUR, UGA, USA, VEN"
Smilax officinalis root with rhizome,
Etelcalcetide,
Naratriptan hydrochloride,"ARE, ARG, AUS, AUT, BEL, BGR, BRA, CAN, CHE, CHL, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HUN, IRL, ISR, JOR, JPN, KOR, LTU, LUX, LVA, MEX, NLD, NOR, NZL, PER, PRI, PRT, RUS, SGP, SVK, SVN, SWE, THA, TUR, URY, USA, ZAF"
Trovafloxacin,
Vaccinium pallidum,
Ulmus spp.,"AUS, DEU"
Methiodal sodium,"SWE, USA"
Impatiens balsamina seed,"CHN, HKG"
Humulus lupulus cone tincture,"LVA, SVN, SWE"
Gepotidacin mesilate dihydrate,
Fallopia multiflora root,"AUS, BFA, COD, DEU, JPN, MYS, SGP, UKR, USA, VNM"
Bupleurum chinense,USA
Belizatinib,
Roxadustat,
Moringa oleifera leaf,"DEU, IND, NZL, PAK, PHL"
Epicillin,"ARE, DEU, IRL, KOR, NLD, TWN"
Cytisus scoparius,"BRA, CHE, CZE, DEU, FRA, KOR, LTU, LUX, LVA, POL, PRI, USA"
Metazide,RUS
Vofopitant dihydrochloride,
Guaifenesin,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHN, CIV, COD, COL, CZE, DEU, DOM, DZA, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, GTM, HKG, HRV, HUN, IDN, IND, IRL, IRN, ISR, ITA, JOR, JPN, KEN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, PRY, ROM, RUS, SAU, SGP, SLV, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, VNM, ZAF, ZMB, ZWE"
Argyreia nervosa extract,"BGD, IND"
Zanthoxylum armatum,IND
Alinidine,
Colesevelam,
Citrus reticulata fruit peel,"AUS, CHN, SGP, USA"
Hypophysis tot.,FRA
Infliximab biosimilar 1,JPN
Melaleuca viridiflora oil,"ARG, BEL, BFA, BGR, BRA, CHL, CIV, COL, DEU, DOM, ECU, EGY, ESP, FRA, GBR, ITA, KWT, MAR, PER, SLV, TUN, TUR"
Ulmus minor,"DEU, FRA"
Prenalterol hydrochloride,"DNK, FIN, GBR, SWE"
Artemether,"AUS, AUT, BEL, BFA, BGD, BGR, BRA, BWA, CHE, CHN, CIV, COD, DEU, EGY, EST, ETH, FRA, GBR, GHA, GRC, IDN, IND, IRL, ITA, JPN, KEN, KWT, LVA, MYS, NGA, NLD, NOR, PAK, PHL, POL, PRI, PRT, SLE, SVN, SWE, THA, UGA, USA, ZAF, ZMB, ZWE"
Ipomoea spp. seed,CHN
Origanum spp. oil,"BLR, CHE, LVA, RUS, SVK, UKR, USA"
Litsea cubeba leaf with stem,
Sparganium stoloniferum rhizome,CHN
Achyranthes bidentata stem,
Oblimersen,
Carica papaya leaf,"AUS, IND, LBN, SGP, USA"
Oroxylum indicum seed,CHN
Antioxidants nos,IND
Pitavastatin Magnesium,"PRI, USA"
Lepidium sativum leaf,
Amorphophallus konjac flower,
"Serum, equine","CHE, DEU, FRA"
Citrus spp. juice,CHE
Shorea robusta,IND
Cedrus libani oil,IRN
Leucanthemum maximum,DEU
Vitex trifolia subsp. litoralis,
Aloe vera,"ARE, ARG, AUS, BEL, BGR, BRA, CAN, CHE, CHL, CHN, COD, COL, CUB, CZE, DEU, DOM, ECU, EGY, ESP, EST, FRA, GBR, GRC, HKG, HRV, IND, IRL, IRN, ISR, ITA, JOR, JPN, KEN, KOR, KWT, LBN, LTU, LVA, MAR, MEX, MYS, NLD, NZL, OMN, PAK, PER, PHL, POL, PRI, RUS, SGP, SVN, SWE, THA, TUN, TWN, URY, USA, VEN, ZAF, ZMB"
Pulsatilla spp.,"AUS, CHE, DEU, FRA, IND, KOR, LVA, PRI, RUS, UKR, USA, ZAF"
Turoctocog alfa pegol,"AUT, CZE, DNK, HUN, NLD"
Doxacurium chloride,"CAN, PRI, USA"
Psammosilene tunicoides root,"CHN, USA"
Proanthocyanidin,"ARG, DEU, ESP, IND, LBN, LTU, MKD, POL, USA, ZAF"
Cryptenamine tannates,USA
Lepidium sativum herb,
Methylthioninium chloride,"ARG, AUS, BEL, BGR, BRA, CAN, CHE, CHN, CZE, DEU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HUN, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MYS, NLD, NOR, NZL, POL, PRI, PRT, ROM, RUS, SVK, SWE, THA, TUN, TUR, TWN, USA, VNM"
AZD 7268,
Smilax spp. rhizome,
Ciprofloxacin lactate,"AFG, ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KAZ, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB, ZWE"
Corylus avellana bud,DEU
Elacridar,
Rubia argyi,
BA 015,
Vinflunine,
Lilium brownii,
Chlordiazepoxide hydrochloride,"ARE, ARG, BGD, BRA, BWA, CAN, CHL, CHN, CIV, DEU, DOM, ESP, EST, FIN, GBR, GRC, HKG, HUN, IDN, IND, IRL, ITA, JOR, JPN, KOR, LBN, LTU, LVA, MAR, MYS, NLD, NZL, PAK, PER, POL, PRI, PRT, ROM, SGP, SWE, THA, TUR, TWN, URY, USA, VEN, ZAF"
Bifonazole,"ARE, ARG, AUS, AUT, BGR, BLR, BRA, BWA, CHL, CHN, CIV, COL, CZE, DEU, DOM, ECU, EGY, ESP, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LTU, LUX, LVA, MAR, MEX, NLD, NOR, PAK, PER, PHL, POL, PRT, ROM, RUS, SAU, SVK, SVN, SWE, THA, TUR, TWN, UGA, UKR, URY, VEN, ZAF, ZWE"
Pheniramine maleate,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DOM, ECU, EGY, EST, FIN, FRA, GBR, HKG, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LVA, MAR, MEX, MYS, NLD, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB"
Fenoverine,"CHN, COL, FRA, IND, KOR, MEX, PAK, PHL, SGP, THA, TWN"
Salvia officinalis extract,"AUT, BGR, BLR, CZE, DEU, ESP, EST, HKG, HUN, LTU, LUX, LVA, POL, RUS, SVK, SVN, UKR"
Echium spp. oil,USA
Gemtuzumab,
Betula spp. oil,DEU
Varenicline,
Cyclea racemosa root,
Triticum spp. seed extract,CHE
Insulin zinc suspension (compound),DOM
Tilia x europaea,"ARG, BLR, CAN, CHL, CZE, DEU, DOM, EST, FRA, LBN, LTU, LUX, LVA, NZL, POL, RUS, SVK, TUR, UKR, USA, ZAF"
Blumea balsamifera herb oil,CHN
Salvia officinalis liquid extract,CHE
Mallotus apelta,
Factor ii (prothrombin),"ARE, ARG, AUS, AUT, BEL, BGR, BRA, BWA, CAN, CHE, CHN, COL, CZE, DEU, DNK, ESP, EST, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IRL, ITA, JPN, KGZ, LBN, LTU, LVA, MEX, MYS, NLD, NOR, PHL, POL, PRT, RUS, SAU, SGP, SVK, SVN, SWE, TUN, TUR, TWN, USA, ZAF"
Pegaspargase,"ARE, ARG, AUT, BEL, BGR, BRA, CAN, CHE, COL, CZE, DEU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HUN, IRL, ITA, KWT, LTU, LVA, MEX, MYS, NLD, NOR, NZL, PER, POL, PRI, PRT, RUS, SAU, SVK, SVN, SWE, UKR, USA"
Foeniculum vulgare fruit essential oil,"AUS, SGP"
Fluorescein isothiocyanate,
Curcuma zanthorrhiza,"AUT, CHE, DEU, EGY, EST, FRA, IDN, KOR, LTU, LUX, LVA, MYS, NLD, PHL, THA, ZAF"
Fosinopril,"FRA, ITA, RUS"
Zinc citrate,"ARE, ARG, AUS, AUT, BRA, CAN, CHE, CHL, CHN, COD, COL, DEU, DOM, EGY, ESP, EST, FIN, FRA, GBR, HKG, HRV, HUN, ITA, JOR, KOR, KWT, LBN, LTU, LVA, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, PRI, RUS, SGP, THA, TUR, URY, USA, ZAF"
"Streptococcus, autolysat","DEU, FRA"
Clerodendrum indicum,
Cenisertib,
Nitrazepam,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BIH, BLR, BRA, BWA, CAN, CHE, CHN, CIV, CZE, DEU, DNK, DOM, ECU, ESP, EST, FIN, FRA, GBR, GDR, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JPN, KOR, LBN, LTU, LUX, LVA, MYS, NLD, NOR, NZL, PAK, POL, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, VEN, YUG, ZAF"
Phosphocreatine sodium,"BLR, CHN, DOM, ITA, LTU, LVA, POL, RUS, UKR"
Cynanchum stauntonii root with rhizome,CHN
Betula spp. leaf oil,"RUS, UKR"
Cynanchum stauntonii root,
Syzygium jambos fruit,CHN
Triptolide,
MP 235,
CC 92480,
Tulathromycin,USA
Zanthoxylum clava-herculis bark,"AUS, USA"
Rhaponticum uniflorum root,CHN
Bentoquatam,USA
Aniba rosaeodora,
Pipofezine hydrochloride,RUS
Ardisia japonica stem,
Budesonide,"ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB, ZWE"
Neceprevir,
Vancomycin,"ARG, DEU, DNK, EGY, FIN, GBR, HRV, IND, SVN, USA, VNM, YUG"
"Glycyrrhizic acid, ammonium salt","CHN, EST, FIN, FRA, JPN, KOR, RUS, TWN, VNM"
L-isoleucyl-l-glutamyl-l-tryptophan,
Phenmetrazine hydrochloride,"AUS, CAN, CZE, DEU, HUN, LTU, LVA, POL"
HPV vaccine VLP rL1 4v (yeast),"AUS, AUT, BFA, BGR, BWA, CAN, CHE, CHN, COD, COL, CZE, DEU, DOM, EGY, EST, ETH, GBR, HRV, IDN, IRL, JOR, JPN, KOR, KWT, LVA, MEX, NOR, PER, PHL, POL, ROM, RUS, SVK, SVN, SWE, UGA, USA, ZMB, ZWE"
Senna alata root,
Sodium alginate,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, COD, COL, CZE, DEU, ECU, EGY, ESP, ETH, FIN, FRA, GBR, GRC, HKG, HUN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB, ZWE"
Cortisone,
Rubus chingii fruit,"CHN, USA"
Chenopodium ambrosioides tincture,DEU
Trecovirsen sodium,
Bleselumab,
Hyoscine hydrobromide,"ARE, ARG, AUS, BEL, BGD, BRA, CAN, CHE, CHN, COL, CZE, DEU, DNK, DOM, EGY, ESP, FIN, FRA, GBR, HKG, IDN, IRL, ITA, JPN, KOR, LTU, LUX, LVA, MEX, MYS, NLD, NOR, NZL, PAK, PER, POL, PRI, ROM, SGP, SWE, THA, TUR, TWN, URY, USA, VEN, ZAF"
Calcium hypophosphite,"ARE, BRA, CHL, DEU, FRA, GRC, IDN, IND, SGP, UKR, VEN"
Agalsidase alfa,"ARG, AUS, AUT, BEL, BRA, CHE, COL, CZE, DEU, ESP, EST, FIN, FRA, GBR, GRC, HRV, HUN, IRL, ITA, JPN, KOR, LTU, LVA, MEX, NLD, NOR, POL, PRT, SAU, SVK, SVN, SWE, TUR, TWN, ZAF"
Saussurea laniceps herb,CHN
Calcium,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NGA, NLD, NOR, NZL, OMN, PAK, PER, PHL, POL, PRI, PRK, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB, ZWE"
Aldioxa,"CHN, DEU, FIN, FRA, GBR, IDN, ISR, ITA, JPN, KOR, MEX, MYS, PAK, SGP, THA, TWN"
Tribulus terrestris seed,TUR
Styphnolobium japonicum leaf,
Taxus wallichiana,CHN
Protein c (coagulation inhibitor),"ARE, ARG, AUS, AUT, BEL, BGR, BRA, CAN, CHE, COL, CZE, DEU, ESP, EST, FIN, FRA, GBR, GRC, HUN, IDN, IRL, ITA, JPN, KGZ, KOR, LBN, LTU, LVA, MEX, MYS, NLD, NOR, NZL, POL, PRI, PRT, RUS, SAU, SGP, SVK, SVN, SWE, TUN, TWN, USA"
Niflumic acid,"ARE, ARG, BEL, BFA, BGR, BLR, CHL, CIV, COD, CZE, DEU, DOM, EGY, ESP, EST, FRA, GRC, HUN, IDN, ITA, JOR, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MYS, NLD, PRT, RUS, SAU, THA, TUN, TWN, UKR"
Incadronic acid,
AMG 780,
Streptococcus pyogenes,"ARE, ARG, BGR, BRA, CHE, CHN, COL, CZE, DEU, DOM, ECU, EGY, ESP, FRA, IDN, IND, ITA, JOR, JPN, KOR, LBN, LTU, LVA, MEX, PER, POL, PRT, ROM, RUS, SVK, SVN, UKR, URY, YUG"
Ferulic acid,"BRA, CHN, DEU, USA"
Itopride,IND
Myrtus spp.,
Sterculia lychnophora,SGP
Chloranthus serratus,CHN
Mimulus aurantiacus,DEU
Zicronapine succinate,
Pentazocine lactate,"ARE, AUS, BEL, BWA, CAN, CZE, DEU, DOM, ECU, ESP, EST, FIN, FRA, GBR, GRC, IND, IRL, ISR, ITA, JPN, KOR, LTU, LUX, LVA, MYS, NLD, NOR, NZL, PAK, PER, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, USA, ZAF"
Pinus spp. oleoresin,DEU
Romiplostim,"ARG, AUS, AUT, BGR, BRA, CAN, CHE, CHL, COL, CZE, DEU, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IRL, ITA, JPN, KOR, LBN, LTU, LUX, LVA, MEX, MYS, NLD, NOR, NZL, POL, PRT, RUS, SAU, SGP, SVK, SVN, SWE, THA, USA, ZAF"
Ephedrine,"ARG, AUS, BGR, BRA, BWA, CAN, CHE, CHN, COD, DEU, DNK, EGY, ESP, ETH, FIN, FRA, GBR, HKG, IDN, IND, IRL, ISR, ITA, JPN, KOR, MYS, NGA, NLD, NOR, NZL, PAK, PRI, SWE, THA, URY, USA, VEN, YUG, ZAF, ZMB, ZWE"
Myristica fragrans,"AUS, BGD, BGR, BRA, CHE, CHL, DEU, EST, FRA, IND, IRN, LTU, LUX, LVA, MEX, MYS, POL, PRI, SWE, THA, USA, ZAF"
Palmitoleic acid,TUR
Phenaglycodol,USA
Brassica juncea,AUS
Galium odoratum,"DEU, FRA, SGP, TUN"
Pseudolarix amabilis,
Lanthanum carbonate,"ARE, AUT, BEL, BGR, CAN, CHE, CZE, DEU, ESP, EST, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IND, IRL, ITA, JPN, KOR, LTU, LUX, LVA, MYS, NLD, NOR, PHL, POL, PRI, PRT, ROM, RUS, SGP, SVK, SVN, SWE, THA, TUR, USA, ZAF"
Menatetrenone,"IDN, IND, JPN, KOR, THA, TWN, USA"
Carlina acaulis,"AUS, BGR, BLR, DEU, LTU, LVA, RUS, ZAF"
Menadiol dibutyrate,"DEU, SAU"
Threonic acid,USA
Alexitol sodium,"AUT, CHN, CZE, FIN, GBR, GRC, HKG, HUN, IDN, ITA, LTU, LVA, MYS, PAK, SGP, SWE, THA, TWN, ZAF"
Curcuma longa oil,"EGY, IDN, IND"
Human red blood cells,JPN
Iomeglamic acid,"CZE, HUN, LTU, LVA"
Octocosanol,NZL
Levonorgestrel,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CRI, CUB, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GDR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LKA, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, PRY, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, TZA, UGA, UKR, URY, USA, VEN, YUG, ZAF, ZMB, ZWE"
Pyridoxal phosphate calcium,JPN
Enpiprazole,
Glycol salicylate,"ARE, ARG, AUS, AUT, BEL, BFA, BGR, BRA, CAN, CHE, COL, DEU, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, HKG, HRV, HUN, IDN, IRL, ISR, ITA, JOR, JPN, KOR, LBN, LTU, LUX, MAR, MYS, NLD, NOR, PER, PRT, RUS, SAU, SGP, THA, TUN, TWN, UKR, URY, USA, ZAF"
Myrtol,"ARE, AUT, BGR, BRA, CHN, DEU, EST, FRA, GRC, HKG, HRV, JOR, KOR, LTU, LUX, PHL, RUS, SRB, THA, UKR"
Subtilisin,"ARG, CAN, COL, MEX, PRI, USA"
Actinidia chinensis extract,AUS
Bismuth iodide,
Petroselinum crispum seed,AUS
Dimetotiazine mesilate,"BGD, CAN, COL, GBR, IDN, ITA, JPN, MEX, NZL, PER, TUN, TWN, URY, VEN"
Pelargonium sidoides root ethanol extract,KOR
Hordeum vulgare malt,"CHN, FRA"
Brexanolone,"PRI, USA"
Citrus x paradisi seed extract,
Enobosarm,USA
Chloroquine,"AUS, BGD, BRA, BWA, CAN, CHN, CIV, GBR, IDN, IND, MAR, PAK, PER, PHL, SAU, THA"
Rhamnus purshiana extract,"BRA, CAN, CIV, COL, DEU, EGY, FRA, GBR, ITA, LUX, NLD, PAK, TUN, URY, USA"
Dibenzepin,
Citrus aurantiifolia peel oil,"AUS, GBR"
Methyluracil,"BLR, EST, KGZ, LTU, LVA, ROM, RUS, UKR"
Testosterone isobutyrate,"CZE, DNK, LTU, LVA, POL, SVK"
Nicergoline tartrate,"BLR, EST, IDN, LTU, LVA, PHL, RUS, UKR"
Bifidobacterium breve,"ARE, ARG, AUS, AUT, BEL, CAN, COL, CZE, DEU, ESP, EST, FRA, HRV, IDN, IND, IRN, ITA, JOR, KWT, LBN, LTU, LVA, MYS, NOR, NZL, PAK, PER, PHL, POL, PRI, ROM, RUS, SGP, SVN, TUR, UKR, URY, USA, ZAF"
Anisodine hydrobromide,CHN
Teucrium marum,"AUS, DEU, IND, RUS, USA"
Adenosma caeruleum,
Taraxacum officinale rhizome,ITA
Diponium,
Dengue fever vaccine live r 4v,
Tridihexethyl iodide,USA
Akritoin sodium,RUS
Cistanche tubulosa,USA
Zastumotide,
Eucalyptus globulus gum,
Procaine,"ARE, ARG, BEL, BLR, BRA, CHN, DEU, ESP, EST, FRA, GBR, HKG, ITA, JPN, LTU, LVA, NLD, POL, RUS, TUN, TUR, UKR, URY"
Sodium glucaldrate,SWE
Eucalyptus viminalis essential oil,
Josamycin propionate,"ARE, AUT, BGR, CHE, CHN, COL, CZE, DOM, ESP, EST, FRA, HUN, IDN, ITA, JOR, JPN, KOR, LBN, LTU, LVA, MAR, RUS, TUN, TWN, UKR"
Mianserin hydrochloride,"ARG, AUS, AUT, BEL, BGD, BGR, BLR, BRA, BWA, CHE, CHL, CHN, CZE, DEU, DNK, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IND, IRL, ISR, ITA, JPN, KOR, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, POL, PRT, RUS, SGP, SVK, SVN, SWE, THA, TUR, UKR, VEN, YUG, ZAF"
Nelumbo spp. seed,KOR
Aladorian sodium,
Butetamate citrate,"ARG, AUT, BRA, CHE, COL, DEU, ECU, ESP, GBR, HKG, IRL, JPN, LTU, LVA, PER, RUS, TWN"
Tropenziline,
Saccharomyces cerevisiae whole plant,
Fraxinus americana leaf,
Brodalumab,"AUT, BEL, CAN, CZE, DEU, DNK, ESP, FIN, FRA, GBR, GRC, IRL, ITA, JPN, LUX, NLD, NOR, PRI, PRT, SWE, TWN, USA"
Ganglioside : GM1 sodium,CHN
Tafluprost,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BRA, CHE, CHL, CZE, DEU, DOM, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IRL, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, PER, PHL, POL, PRI, PRT, RUS, SGP, SVK, SVN, SWE, THA, TUR, TWN, UKR, USA, ZAF"
Albizia julibrissin stem bark,"CHN, USA"
Tidembersat,
TAK 580,
Methyclothiazide,"AUS, CAN, FIN, FRA, GBR, HKG, ITA, JPN, MYS, PRI, SGP, SWE, TUN, TUR, USA, YUG"
Sulfamidochrysoidine,ECU
Filipendula ulmaria,"ARG, AUS, CAN, DEU, EST, FRA, GBR, HRV, ITA, LTU, LVA, MEX, NLD, POL, PRI, SVN, UKR, USA, ZAF"
