itemid1,itemid2,sml
JPRN-jRCTs031190227,JPRN-jRCTs031190226,0.8235294
NCT04359316,NCT04350684,0.8479532
NCT04359316,NCT04350671,0.8150289
NCT04359316,NCT04343768,0.6939891
NCT04359615,NCT04350684,0.7888889
NCT04359615,NCT04350671,0.7582418
NCT04359615,NCT04359316,0.88819873
NCT04359615,NCT04343768,0.6719577
NCT04341584,NCT04331808,0.7058824
NCT04342169,NCT04334382,0.68
NCT04345289,EUCTR2020-001367-88-DK,0.6658537
NCT04350281,NCT04276688,0.6330645
NCT04353336,NCT04351347,0.7903226
NCT04353336,NCT04345406,0.6515151
NCT04353336,NCT04351295,0.78688526
ChiCTR2000032399,ChiCTR2000032214,0.8333333
ChiCTR2000032399,ChiCTR2000032205,0.6359223
ChiCTR2000032399,ChiCTR2000032237,0.6220096
ChiCTR2000032487,ChiCTR2000031174,0.624
EUCTR2020-001172-15-DK,EUCTR2020-001172-15-AT,0.98723406
NCT04348409,NCT04329572,0.64171124
NCT04348474,NCT04329572,0.626943
NCT04361318,NCT04360356,0.7222222
ISRCTN83971151,CTRI/2020/04/024773,0.61885244
NCT04374942,ISRCTN14326006,0.74
NCT04374942,NCT04352946,0.69402987
NCT04312009,NCT04311177,0.66323024
IRCT20200420047147N1,IRCT20151227025726N14,0.6592179
EUCTR2020-001228-32-GB,EUCTR2020-001072-15-GB,0.69005847
NCT04371510,NCT04369456,0.8587571
NCT04372186,NCT04320615,0.6037736
NCT04351191,NCT04346667,0.7403315
NCT04401579,NCT04280705,0.6112676
EUCTR2020-001953-36-ES,EUCTR2020-001696-32-ES,0.6895161
EUCTR2020-001411-25-GB,EUCTR2020-001411-25-AT,0.8250497
EUCTR2020-001783-28-HU,EUCTR2020-000919-69-NL,0.6131805
NCT04366063,IRCT20200413047063N1,0.6164383
NCT04366063,IRCT20200217046526N1,0.6617647
NCT04366063,IRCT20200217046526N2,0.6258503
IRCT20081019001369N3,IRCT20081019001369N2,0.8947368
IRCT20200317046797N4,IRCT20200317046797N1,0.6458333
IRCT20200317046797N4,IRCT20200317046797N2,0.6666667
EUCTR2020-001784-88-FI,EUCTR2020-000982-18-NO,0.7426901
NCT04389580,NCT04353180,0.7432432
NCT04372602,NCT04354714,0.8920635
NCT04313023,NCT04312997,0.73357666
IRCT20200413047063N1,IRCT20200217046526N1,0.79094076
IRCT20200413047063N1,IRCT20200217046526N2,0.875
NCT04404634,NCT04364737,0.76047903
CTRI/2020/05/025178,CTRI/2020/05/025171,0.65467626
EUCTR2020-001370-30-GB,EUCTR2020-001370-30-DE,0.97376096
IRCT20080901001165N51,IRCT20080901001165N50,0.95721924
IRCT20080901001165N51,IRCT20080901001165N48,0.6467662
IRCT20080901001165N51,IRCT20080901001165N49,0.70616114
NCT04347174,CTRI/2020/04/024846,0.7111111
IRCT20080901001165N50,IRCT20080901001165N48,0.655
IRCT20080901001165N50,IRCT20080901001165N49,0.70616114
